"STDR_YM_CD(기준_년월_코드)","RD_LINK_ID(도로링크_ID)","SIGNGU_CD(시군구코드)","ADSTRD_CD(행정동코드)","DAYWEEK_CD(요일코드)","AGRDE_CD(연령대코드)","TMZON_CD(시간대코드)","FLPOP_CO(유동인구_수)"
"201612","6879","11320","11320511","1","30","06",10.0286666666667
"201612","6879","11320","11320511","1","40","00",89.622
"201612","6879","11320","11320511","1","40","01",0
"201612","6879","11320","11320511","1","40","02",14.4313333333333
"201612","6879","11320","11320511","1","40","03",17.5393333333333
"201612","6879","11320","11320511","1","40","04",20.5356666666667
"201612","6879","11320","11320511","1","40","05",26.5683333333333
"201612","6879","11320","11320511","1","40","06",10.5473333333333
"201612","6879","11320","11320511","1","50","00",97.207
"201612","6879","11320","11320511","1","50","01",0
"201612","6879","11320","11320511","1","50","02",15.8746666666667
"201612","6879","11320","11320511","1","50","03",20.241
"201612","6879","11320","11320511","1","50","04",22.2376666666667
"201612","6879","11320","11320511","1","50","05",28.6403333333333
"201612","6879","11320","11320511","1","50","06",10.2133333333333
"201612","6879","11320","11320511","1","60","00",77.632
"201612","6879","11320","11320511","1","60","01",0
"201612","6879","11320","11320511","1","60","02",13.7663333333333
"201612","6879","11320","11320511","1","60","03",20.2393333333333
"201612","6879","11320","11320511","1","60","04",20.832
"201612","6879","11320","11320511","1","60","05",20.6106666666667
"201612","6879","11320","11320511","1","60","06",2.18366666666667
"201612","6879","11320","11320511","2","00","00",344.644166666667
"201612","6879","11320","11320511","2","00","01",3.03
"201612","6879","11320","11320511","2","00","02",38.3466666666667
"201612","6879","11320","11320511","2","00","03",77.4883333333333
"201612","6879","11320","11320511","2","00","04",78.5208333333333
"201612","6879","11320","11320511","2","00","05",102.395833333333
"201612","6879","11320","11320511","2","00","06",44.8625
"201612","6879","11320","11320511","2","10","00",27.1633333333333
"201612","6879","11320","11320511","2","10","01",0
"201612","6879","11320","11320511","2","10","02",0
"201612","6879","11320","11320511","2","10","03",6.51333333333333
"201612","6879","11320","11320511","2","10","04",7.16
"201612","6879","11320","11320511","2","10","05",9.09
"201612","6879","11320","11320511","2","10","06",4.4
"201612","6879","11320","11320511","2","20","00",60.5283333333333
"201612","6879","11320","11320511","2","20","01",3.03
"201612","6879","11320","11320511","2","20","02",2.28833333333333
"201612","6879","11320","11320511","2","20","03",11.4791666666667
"201612","6879","11320","11320511","2","20","04",13.0458333333333
"201612","6879","11320","11320511","2","20","05",17.64
"201612","6879","11320","11320511","2","20","06",13.045
"201612","6879","11320","11320511","2","30","00",58.3108333333333
"201612","6879","11320","11320511","2","30","01",0
"201612","6879","11320","11320511","2","30","02",6.415
"201612","6879","11320","11320511","2","30","03",13.3216666666667
"201612","6879","11320","11320511","2","30","04",13.23
"201612","6879","11320","11320511","2","30","05",17.7316666666667
"201612","6879","11320","11320511","2","30","06",7.6125
"201612","6879","11320","11320511","2","40","00",65.8208333333333
"201612","6879","11320","11320511","2","40","01",0
"201612","6879","11320","11320511","2","40","02",8.9925
"201612","6879","11320","11320511","2","40","03",14.5075
"201612","6879","11320","11320511","2","40","04",14.3258333333333
"201612","6879","11320","11320511","2","40","05",19.9241666666667
"201612","6879","11320","11320511","2","40","06",8.07083333333333
"201612","6879","11320","11320511","2","50","00",72.6025
"201612","6879","11320","11320511","2","50","01",0
"201612","6879","11320","11320511","2","50","02",11.0166666666667
"201612","6879","11320","11320511","2","50","03",15.3283333333333
"201612","6879","11320","11320511","2","50","04",15.6083333333333
"201612","6879","11320","11320511","2","50","05",21.205
"201612","6879","11320","11320511","2","50","06",9.44416666666667
"201612","6879","11320","11320511","2","60","00",60.2183333333333
"201612","6879","11320","11320511","2","60","01",0
"201612","6879","11320","11320511","2","60","02",9.63416666666667
"201612","6879","11320","11320511","2","60","03",16.3383333333333
"201612","6879","11320","11320511","2","60","04",15.1508333333333
"201612","6879","11320","11320511","2","60","05",16.805
"201612","6879","11320","11320511","2","60","06",2.29
"201612","6884","11320","11320511","1","00","00",397.6385
"201612","6884","11320","11320511","1","00","01",0.805
"201612","6884","11320","11320511","1","00","02",51.9233333333333
"201612","6884","11320","11320511","1","00","03",82.6198333333333
"201612","6884","11320","11320511","1","00","04",97.2908333333333
"201612","6884","11320","11320511","1","00","05",121.939916666667
"201612","6884","11320","11320511","1","00","06",43.0595833333333
"201612","6884","11320","11320511","1","10","00",25.3461666666667
"201612","6884","11320","11320511","1","10","01",0
"201612","6884","11320","11320511","1","10","02",1.48858333333333
"201612","6884","11320","11320511","1","10","03",3.26466666666667
"201612","6884","11320","11320511","1","10","04",8.22808333333333
"201612","6884","11320","11320511","1","10","05",8.94575
"201612","6884","11320","11320511","1","10","06",3.41908333333333
"201612","6884","11320","11320511","1","20","00",50.941
"201612","6884","11320","11320511","1","20","01",0.805
"201612","6884","11320","11320511","1","20","02",3.737
"201612","6884","11320","11320511","1","20","03",7.92375
"201612","6884","11320","11320511","1","20","04",9.13416666666667
"201612","6884","11320","11320511","1","20","05",17.7485833333333
"201612","6884","11320","11320511","1","20","06",11.5925
"201612","6884","11320","11320511","1","30","00",70.0214166666667
"201612","6884","11320","11320511","1","30","01",0
"201612","6884","11320","11320511","1","30","02",9.2445
